multi_title,theta,n_keywords,p,r
TRUE,0.483293024,12,0.878991597,0.681877445
TRUE,0.483293024,14,0.878947368,0.653194263
TRUE,0.483293024,16,0.892255892,0.691003911
TRUE,0.483293024,17,0.877586207,0.663624511
TRUE,0.483293024,19,0.875,0.666232073
TRUE,0.483293024,21,0.862778731,0.655801825
TRUE,0.483293024,23,0.866444073,0.676662321
TRUE,0.483293024,25,0.878172589,0.676662321
TRUE,0.483293024,27,0.877966102,0.67535854
TRUE,0.483293024,28,0.875,0.67535854
TRUE,0.483293024,30,0.876480541,0.67535854
TRUE,0.483293024,32,0.858085809,0.677966102
TRUE,0.483293024,34,0.859504132,0.677966102
TRUE,0.483293024,36,0.853858785,0.677966102
TRUE,0.483293024,38,0.85106383,0.677966102
TRUE,0.483293024,40,0.852459016,0.677966102
TRUE,0.545559478,5,0.895220588,0.63494133
TRUE,0.545559478,6,0.893854749,0.625814863
TRUE,0.545559478,8,0.906432749,0.606258149
TRUE,0.545559478,10,0.91372549,0.60756193
TRUE,0.545559478,12,0.946850394,0.627118644
TRUE,0.545559478,14,0.944444444,0.620599739
TRUE,0.545559478,16,0.948,0.617992177
TRUE,0.545559478,17,0.950690335,0.628422425
TRUE,0.545559478,19,0.953488372,0.641460235
TRUE,0.545559478,21,0.951807229,0.617992177
TRUE,0.545559478,23,0.954990215,0.636245111
TRUE,0.545559478,25,0.961685824,0.654498044
TRUE,0.545559478,27,0.961612284,0.653194263
TRUE,0.545559478,28,0.961759082,0.655801825
TRUE,0.545559478,30,0.959770115,0.653194263
TRUE,0.545559478,32,0.961685824,0.654498044
TRUE,0.545559478,34,0.961759082,0.655801825
TRUE,0.545559478,36,0.965384615,0.654498044
TRUE,0.545559478,38,0.965384615,0.654498044
TRUE,0.545559478,40,0.961685824,0.654498044
TRUE,0.615848211,5,0.90872211,0.584093872
TRUE,0.615848211,6,0.918032787,0.584093872
TRUE,0.615848211,8,0.94893617,0.58148631
TRUE,0.615848211,10,0.958785249,0.576271186
TRUE,0.615848211,12,0.953846154,0.565840939
TRUE,0.615848211,14,0.952173913,0.571056063
TRUE,0.615848211,16,0.950431034,0.574967405
TRUE,0.615848211,17,0.954446855,0.573663625
TRUE,0.615848211,19,0.959488273,0.586701434
TRUE,0.615848211,21,0.954935622,0.580182529
TRUE,0.615848211,23,0.953810624,0.538461538
TRUE,0.615848211,25,0.954022989,0.5410691
TRUE,0.615848211,27,0.945205479,0.539765319
TRUE,0.615848211,28,0.950959488,0.58148631
TRUE,0.615848211,30,0.949152542,0.584093872
TRUE,0.615848211,32,0.951167728,0.584093872
TRUE,0.615848211,34,0.951578947,0.589308996
TRUE,0.615848211,36,0.954070981,0.595827901
TRUE,0.615848211,38,0.959745763,0.590612777
TRUE,0.615848211,40,0.965217391,0.578878748
TRUE,0.695192796,5,0.931111111,0.546284224
TRUE,0.695192796,6,0.949275362,0.512385919
TRUE,0.695192796,8,0.964194373,0.491525424
TRUE,0.695192796,10,0.958702065,0.423728814
TRUE,0.695192796,12,0.962318841,0.43285528
TRUE,0.695192796,14,0.953079179,0.423728814
TRUE,0.695192796,16,0.953216374,0.425032595
TRUE,0.695192796,17,0.956140351,0.426336375
TRUE,0.695192796,19,0.967455621,0.426336375
TRUE,0.695192796,21,0.964497041,0.425032595
TRUE,0.695192796,23,0.973134328,0.425032595
TRUE,0.695192796,25,0.975903614,0.422425033
TRUE,0.695192796,27,0.976190476,0.427640156
TRUE,0.695192796,28,0.974110032,0.39243807
